Date,Day,Month,Quarter,Year
1/27/2015,27,1,1,2015
1/29/2015,29,1,1,2015
1/30/2015,30,1,1,2015
1/31/2015,31,1,1,2015
2/1/2015,1,2,1,2015
2/2/2015,2,2,1,2015
2/3/2015,3,2,1,2015
2/4/2015,4,2,1,2015
2/5/2015,5,2,1,2015
2/6/2015,6,2,1,2015
2/9/2015,9,2,1,2015
2/10/2015,10,2,1,2015
2/11/2015,11,2,1,2015
2/12/2015,12,2,1,2015
2/13/2015,13,2,1,2015
2/14/2015,14,2,1,2015
2/16/2015,16,2,1,2015
2/18/2015,18,2,1,2015
2/19/2015,19,2,1,2015
2/21/2015,21,2,1,2015
2/22/2015,22,2,1,2015
2/23/2015,23,2,1,2015
2/24/2015,24,2,1,2015
2/25/2015,25,2,1,2015
2/26/2015,26,2,1,2015
2/27/2015,27,2,1,2015
2/28/2015,28,2,1,2015
3/1/2015,1,3,1,2015
3/2/2015,2,3,1,2015
3/3/2015,3,3,1,2015
3/4/2015,4,3,1,2015
3/5/2015,5,3,1,2015
3/6/2015,6,3,1,2015
3/7/2015,7,3,1,2015
3/8/2015,8,3,1,2015
3/10/2015,10,3,1,2015
3/11/2015,11,3,1,2015
3/12/2015,12,3,1,2015
3/14/2015,14,3,1,2015
3/15/2015,15,3,1,2015
3/16/2015,16,3,1,2015
3/17/2015,17,3,1,2015
3/18/2015,18,3,1,2015
3/19/2015,19,3,1,2015
3/20/2015,20,3,1,2015
3/23/2015,23,3,1,2015
3/24/2015,24,3,1,2015
3/25/2015,25,3,1,2015
3/26/2015,26,3,1,2015
3/28/2015,28,3,1,2015
3/29/2015,29,3,1,2015
3/30/2015,30,3,1,2015
3/31/2015,31,3,1,2015
4/1/2015,1,4,2,2015
4/2/2015,2,4,2,2015
4/3/2015,3,4,2,2015
4/4/2015,4,4,2,2015
4/6/2015,6,4,2,2015
4/7/2015,7,4,2,2015
4/9/2015,9,4,2,2015
4/10/2015,10,4,2,2015
4/11/2015,11,4,2,2015
4/12/2015,12,4,2,2015
4/13/2015,13,4,2,2015
4/14/2015,14,4,2,2015
4/15/2015,15,4,2,2015
4/17/2015,17,4,2,2015
4/18/2015,18,4,2,2015
4/20/2015,20,4,2,2015
4/21/2015,21,4,2,2015
4/22/2015,22,4,2,2015
4/23/2015,23,4,2,2015
4/24/2015,24,4,2,2015
4/25/2015,25,4,2,2015
4/26/2015,26,4,2,2015
4/27/2015,27,4,2,2015
4/29/2015,29,4,2,2015
4/30/2015,30,4,2,2015
5/1/2015,1,5,2,2015
5/2/2015,2,5,2,2015
5/3/2015,3,5,2,2015
5/4/2015,4,5,2,2015
5/5/2015,5,5,2,2015
5/6/2015,6,5,2,2015
5/7/2015,7,5,2,2015
5/8/2015,8,5,2,2015
5/9/2015,9,5,2,2015
5/10/2015,10,5,2,2015
5/11/2015,11,5,2,2015
5/12/2015,12,5,2,2015
5/13/2015,13,5,2,2015
5/14/2015,14,5,2,2015
5/15/2015,15,5,2,2015
5/16/2015,16,5,2,2015
5/17/2015,17,5,2,2015
5/20/2015,20,5,2,2015
5/21/2015,21,5,2,2015
5/22/2015,22,5,2,2015
5/23/2015,23,5,2,2015
5/24/2015,24,5,2,2015
5/25/2015,25,5,2,2015
5/27/2015,27,5,2,2015
5/28/2015,28,5,2,2015
5/29/2015,29,5,2,2015
5/30/2015,30,5,2,2015
6/1/2015,1,6,2,2015
6/2/2015,2,6,2,2015
6/5/2015,5,6,2,2015
6/6/2015,6,6,2,2015
6/7/2015,7,6,2,2015
6/10/2015,10,6,2,2015
6/11/2015,11,6,2,2015
6/13/2015,13,6,2,2015
6/14/2015,14,6,2,2015
6/15/2015,15,6,2,2015
6/17/2015,17,6,2,2015
6/18/2015,18,6,2,2015
6/20/2015,20,6,2,2015
6/22/2015,22,6,2,2015
6/23/2015,23,6,2,2015
6/24/2015,24,6,2,2015
6/25/2015,25,6,2,2015
6/27/2015,27,6,2,2015
6/29/2015,29,6,2,2015
7/2/2015,2,7,3,2015
7/4/2015,4,7,3,2015
7/6/2015,6,7,3,2015
7/7/2015,7,7,3,2015
7/9/2015,9,7,3,2015
7/10/2015,10,7,3,2015
7/11/2015,11,7,3,2015
7/12/2015,12,7,3,2015
7/16/2015,16,7,3,2015
7/18/2015,18,7,3,2015
7/19/2015,19,7,3,2015
7/20/2015,20,7,3,2015
7/26/2015,26,7,3,2015
7/28/2015,28,7,3,2015
7/29/2015,29,7,3,2015
7/31/2015,31,7,3,2015
8/1/2015,1,8,3,2015
8/5/2015,5,8,3,2015
8/8/2015,8,8,3,2015
8/11/2015,11,8,3,2015
8/14/2015,14,8,3,2015
8/15/2015,15,8,3,2015
8/16/2015,16,8,3,2015
8/17/2015,17,8,3,2015
8/18/2015,18,8,3,2015
8/19/2015,19,8,3,2015
8/22/2015,22,8,3,2015
8/26/2015,26,8,3,2015
8/28/2015,28,8,3,2015
9/3/2015,3,9,3,2015
9/5/2015,5,9,3,2015
9/9/2015,9,9,3,2015
9/13/2015,13,9,3,2015
9/15/2015,15,9,3,2015
9/17/2015,17,9,3,2015
9/22/2015,22,9,3,2015
9/23/2015,23,9,3,2015
9/25/2015,25,9,3,2015
9/27/2015,27,9,3,2015
9/28/2015,28,9,3,2015
9/29/2015,29,9,3,2015
10/2/2015,2,10,4,2015
10/4/2015,4,10,4,2015
10/9/2015,9,10,4,2015
10/10/2015,10,10,4,2015
10/15/2015,15,10,4,2015
10/18/2015,18,10,4,2015
10/19/2015,19,10,4,2015
10/23/2015,23,10,4,2015
10/26/2015,26,10,4,2015
10/27/2015,27,10,4,2015
10/29/2015,29,10,4,2015
